label,adhd_percentage,adhd_avg_score,non_adhd_percentage,non_adhd_avg_score,diff_perc,diff_avg
nervousness,0.026009175,0.215128129,0.017027949,0.188203486,0.008981226,0.026924643
pride,0.004880568,0.175555285,0.005229848,0.157997827,0.00034928,0.017557458
amusement,0.07071553,0.17267066,0.073150763,0.156334225,0.002435233,0.016336435
curiosity,0.123043012,0.167409222,0.139250851,0.157001178,0.016207839,0.010408044
anger,0.029628855,0.184867195,0.027219964,0.175015587,0.002408891,0.009851608
love,0.011910003,0.181928506,0.014432412,0.191555744,0.002522409,0.009627238
realization,0.050984661,0.165306122,0.048981917,0.156101898,0.002002744,0.009204224
sadness,0.036155175,0.205155447,0.029429265,0.196256229,0.00672591,0.008899218
annoyance,0.063531529,0.156844283,0.049084814,0.148038881,0.014446715,0.008805402
excitement,0.120198376,0.168197634,0.150858071,0.15982885,0.030659695,0.008368784
relief,0.014132831,0.183877713,0.013762836,0.176061585,0.000369995,0.007816128
embarrassment,0.010687646,0.148804049,0.008314519,0.141737199,0.002373127,0.00706685
remorse,0.012169532,0.164447623,0.009896745,0.157555109,0.002272787,0.006892514
approval,0.009378485,0.121278875,0.011343267,0.114555523,0.001964782,0.006723352
confusion,0.125389405,0.189790262,0.098386606,0.183953749,0.027002799,0.005836513
surprise,0.014449049,0.20014229,0.012511669,0.205563524,0.00193738,0.005421234
grief,0.004685699,0.175118933,0.004302284,0.169993363,0.000383415,0.00512557
disapproval,0.033396459,0.160772715,0.034377265,0.155978102,0.000980806,0.004794613
caring,0.070751404,0.121539903,0.09655012,0.116763469,0.025798716,0.004776434
desire,0.064055017,0.206644905,0.05459651,0.202240689,0.009458507,0.004404216
optimism,0.005503704,0.178377932,0.007294497,0.175686935,0.001790793,0.002690997
fear,0.005924885,0.256583761,0.004789926,0.258795931,0.001134959,0.00221217
gratitude,0.018040828,0.238074338,0.019408745,0.235982549,0.001367917,0.002091789
disappointment,0.044658524,0.165625389,0.037151008,0.164093859,0.007507516,0.00153153
joy,0.00672606,0.167209227,0.007496563,0.168601432,0.000770503,0.001392205
disgust,0.00726992,0.189617189,0.005709288,0.190556396,0.001560632,0.000939207
admiration,0.013096486,0.155214767,0.015386818,0.155172795,0.002290332,4.1972E-05
